"source","target","weight","type"
"think","million",14,"undirected"
"look","million",12,"undirected"
"mind","million",14,"undirected"
"see","dead",208,"undirected"
"feel","dead",111,"undirected"
"think","dead",183,"undirected"
"look","dead",164,"undirected"
"mind","dead",42,"undirected"
"see","plan",67,"undirected"
"feel","plan",58,"undirected"
"think","plan",129,"undirected"
"look","plan",78,"undirected"
"mind","plan",25,"undirected"
"see","purpos",22,"undirected"
"feel","purpos",21,"undirected"
"think","purpos",30,"undirected"
"look","purpos",20,"undirected"
"mind","purpos",5,"undirected"
"see","need",306,"undirected"
"feel","need",272,"undirected"
"think","need",434,"undirected"
"look","need",325,"undirected"
"mind","need",66,"undirected"
"see","gain",19,"undirected"
"feel","gain",9,"undirected"
"think","gain",16,"undirected"
"look","gain",15,"undirected"
"mind","gain",5,"undirected"
"see","just",925,"undirected"
"feel","just",680,"undirected"
"think","just",996,"undirected"
"look","just",1019,"undirected"
"mind","just",206,"undirected"
"see","sure",298,"undirected"
"feel","sure",236,"undirected"
"think","sure",313,"undirected"
"look","sure",378,"undirected"
"mind","sure",58,"undirected"
"see","complet",79,"undirected"
"feel","complet",67,"undirected"
"think","complet",88,"undirected"
"look","complet",85,"undirected"
"mind","complet",33,"undirected"
"see","echo",24,"undirected"
"feel","echo",31,"undirected"
"think","echo",36,"undirected"
"look","echo",33,"undirected"
"mind","echo",16,"undirected"
"see","paus",95,"undirected"
"feel","paus",54,"undirected"
"think","paus",154,"undirected"
"look","paus",217,"undirected"
"mind","paus",21,"undirected"
"see","secur",77,"undirected"
"feel","secur",51,"undirected"
"think","secur",41,"undirected"
"look","secur",68,"undirected"
"mind","secur",14,"undirected"
"see","shut",78,"undirected"
"feel","shut",55,"undirected"
"think","shut",85,"undirected"
"look","shut",100,"undirected"
"mind","shut",25,"undirected"
"see","anoth",331,"undirected"
"feel","anoth",194,"undirected"
"think","anoth",282,"undirected"
"look","anoth",362,"undirected"
"mind","anoth",61,"undirected"
"see","disrupt",1,"undirected"
"feel","disrupt",2,"undirected"
"think","disrupt",6,"undirected"
"mind","disrupt",4,"undirected"
"see","reach",295,"undirected"
"feel","reach",273,"undirected"
"think","reach",220,"undirected"
"look","reach",323,"undirected"
"mind","reach",63,"undirected"
"see","illus",18,"undirected"
"feel","illus",11,"undirected"
"think","illus",12,"undirected"
"look","illus",8,"undirected"
"mind","illus",2,"undirected"
"see","nearbi",44,"undirected"
"feel","nearbi",11,"undirected"
"think","nearbi",17,"undirected"
"look","nearbi",30,"undirected"
"mind","nearbi",2,"undirected"
"see","let",360,"undirected"
"feel","let",267,"undirected"
"think","let",353,"undirected"
"look","let",432,"undirected"
"mind","let",99,"undirected"
"see","open",576,"undirected"
"feel","open",307,"undirected"
"think","open",321,"undirected"
"look","open",557,"undirected"
"mind","open",111,"undirected"
"see","pull",330,"undirected"
"feel","pull",301,"undirected"
"think","pull",254,"undirected"
"look","pull",413,"undirected"
"mind","pull",55,"undirected"
"see","reaction",39,"undirected"
"feel","reaction",26,"undirected"
"think","reaction",36,"undirected"
"look","reaction",48,"undirected"
"mind","reaction",2,"undirected"
"see","struggl",74,"undirected"
"feel","struggl",48,"undirected"
"think","struggl",49,"undirected"
"look","struggl",58,"undirected"
"mind","struggl",23,"undirected"
"see","close",453,"undirected"
"feel","close",326,"undirected"
"think","close",243,"undirected"
"look","close",429,"undirected"
"mind","close",85,"undirected"
"see","abl",155,"undirected"
"feel","abl",92,"undirected"
"think","abl",133,"undirected"
"look","abl",98,"undirected"
"mind","abl",29,"undirected"
"see","kit",7,"undirected"
"feel","kit",3,"undirected"
"think","kit",14,"undirected"
"look","kit",13,"undirected"
"mind","kit",4,"undirected"
"see","medic",32,"undirected"
"feel","medic",23,"undirected"
"think","medic",26,"undirected"
"look","medic",21,"undirected"
"mind","medic",8,"undirected"
"see","intens",36,"undirected"
"feel","intens",42,"undirected"
"think","intens",28,"undirected"
"look","intens",43,"undirected"
"mind","intens",4,"undirected"
"see","least",114,"undirected"
"feel","least",105,"undirected"
"think","least",178,"undirected"
"look","least",142,"undirected"
"mind","least",28,"undirected"
"see","respons",44,"undirected"
"feel","respons",58,"undirected"
"think","respons",66,"undirected"
"look","respons",65,"undirected"
"mind","respons",20,"undirected"
"see","emerg",61,"undirected"
"feel","emerg",32,"undirected"
"think","emerg",36,"undirected"
"look","emerg",60,"undirected"
"mind","emerg",18,"undirected"
"see","observ",58,"undirected"
"feel","observ",34,"undirected"
"think","observ",47,"undirected"
"look","observ",54,"undirected"
"mind","observ",14,"undirected"
"see","across",310,"undirected"
"feel","across",148,"undirected"
"think","across",195,"undirected"
"look","across",352,"undirected"
"mind","across",46,"undirected"
"see","push",167,"undirected"
"feel","push",134,"undirected"
"think","push",161,"undirected"
"look","push",172,"undirected"
"mind","push",64,"undirected"
"see","harden",22,"undirected"
"feel","harden",11,"undirected"
"think","harden",13,"undirected"
"look","harden",16,"undirected"
"mind","harden",3,"undirected"
"see","sigh",63,"undirected"
"feel","sigh",63,"undirected"
"think","sigh",91,"undirected"
"look","sigh",189,"undirected"
"mind","sigh",21,"undirected"
"see","still",662,"undirected"
"feel","still",487,"undirected"
"think","still",564,"undirected"
"look","still",735,"undirected"
"mind","still",164,"undirected"
"see","toward",510,"undirected"
"feel","toward",280,"undirected"
"think","toward",252,"undirected"
"look","toward",541,"undirected"
"mind","toward",60,"undirected"
"see","continu",122,"undirected"
"feel","continu",84,"undirected"
"think","continu",118,"undirected"
"look","continu",144,"undirected"
"mind","continu",37,"undirected"
"see","either",100,"undirected"
"feel","either",57,"undirected"
"think","either",108,"undirected"
"look","either",106,"undirected"
"mind","either",14,"undirected"
"see","specif",12,"undirected"
"feel","specif",6,"undirected"
"think","specif",10,"undirected"
"look","specif",17,"undirected"
"mind","specif",2,"undirected"
"see","bodi",315,"undirected"
"feel","bodi",417,"undirected"
"think","bodi",193,"undirected"
"look","bodi",255,"undirected"
"mind","bodi",132,"undirected"
"see","regard",31,"undirected"
"feel","regard",21,"undirected"
"think","regard",15,"undirected"
"look","regard",38,"undirected"
"mind","regard",4,"undirected"
"see","size",37,"undirected"
"feel","size",21,"undirected"
"think","size",16,"undirected"
"look","size",42,"undirected"
"mind","size",8,"undirected"
"see","head",878,"undirected"
"feel","head",620,"undirected"
"think","head",726,"undirected"
"look","head",1288,"undirected"
"mind","head",126,"undirected"
"see","mutter",31,"undirected"
"feel","mutter",13,"undirected"
"think","mutter",32,"undirected"
"look","mutter",66,"undirected"
"mind","mutter",5,"undirected"
"see","ground",140,"undirected"
"feel","ground",104,"undirected"
"think","ground",73,"undirected"
"look","ground",155,"undirected"
"mind","ground",28,"undirected"
"see","resist",24,"undirected"
"feel","resist",17,"undirected"
"think","resist",26,"undirected"
"look","resist",28,"undirected"
"mind","resist",9,"undirected"
"see","broke",46,"undirected"
"feel","broke",29,"undirected"
"think","broke",44,"undirected"
"look","broke",65,"undirected"
"mind","broke",5,"undirected"
"see","roar",24,"undirected"
"feel","roar",24,"undirected"
"think","roar",23,"undirected"
"look","roar",21,"undirected"
"mind","roar",4,"undirected"
"see","support",26,"undirected"
"feel","support",22,"undirected"
"think","support",20,"undirected"
"look","support",32,"undirected"
"mind","support",1,"undirected"
"see","ad",57,"undirected"
"feel","ad",42,"undirected"
"think","ad",89,"undirected"
"look","ad",105,"undirected"
"mind","ad",11,"undirected"
"see","surviv",36,"undirected"
"feel","surviv",42,"undirected"
"think","surviv",61,"undirected"
"look","surviv",26,"undirected"
"mind","surviv",16,"undirected"
"see","rang",34,"undirected"
"feel","rang",18,"undirected"
"think","rang",35,"undirected"
"look","rang",35,"undirected"
"mind","rang",13,"undirected"
"see","around",811,"undirected"
"feel","around",549,"undirected"
"think","around",456,"undirected"
"look","around",1330,"undirected"
"mind","around",126,"undirected"
"see","damn",26,"undirected"
"feel","damn",17,"undirected"
"think","damn",37,"undirected"
"look","damn",32,"undirected"
"mind","damn",7,"undirected"
"see","stow",6,"undirected"
"feel","stow",2,"undirected"
"think","stow",1,"undirected"
"look","stow",2,"undirected"
"see","unit",34,"undirected"
"feel","unit",16,"undirected"
"think","unit",22,"undirected"
"look","unit",17,"undirected"
"mind","unit",4,"undirected"
"see","link",34,"undirected"
"feel","link",26,"undirected"
"think","link",26,"undirected"
"look","link",31,"undirected"
"mind","link",20,"undirected"
"see","gun",133,"undirected"
"feel","gun",85,"undirected"
"think","gun",88,"undirected"
"look","gun",137,"undirected"
"mind","gun",15,"undirected"
"see","shoot",48,"undirected"
"feel","shoot",23,"undirected"
"think","shoot",49,"undirected"
"look","shoot",49,"undirected"
"mind","shoot",8,"undirected"
"see","spin",38,"undirected"
"feel","spin",30,"undirected"
"think","spin",20,"undirected"
"look","spin",40,"undirected"
"mind","spin",17,"undirected"
"see","can",436,"undirected"
"feel","can",214,"undirected"
"think","can",403,"undirected"
"look","can",370,"undirected"
"mind","can",63,"undirected"
"see","point",339,"undirected"
"feel","point",160,"undirected"
"think","point",233,"undirected"
"look","point",404,"undirected"
"mind","point",43,"undirected"
"see","blade",32,"undirected"
"feel","blade",32,"undirected"
"think","blade",15,"undirected"
"look","blade",26,"undirected"
"mind","blade",1,"undirected"
"see","split",30,"undirected"
"feel","split",14,"undirected"
"think","split",19,"undirected"
"look","split",21,"undirected"
"mind","split",8,"undirected"
"see","uncomfort",26,"undirected"
"feel","uncomfort",48,"undirected"
"think","uncomfort",23,"undirected"
"look","uncomfort",65,"undirected"
"mind","uncomfort",5,"undirected"
"see","feed",50,"undirected"
"feel","feed",13,"undirected"
"think","feed",23,"undirected"
"look","feed",26,"undirected"
"mind","feed",6,"undirected"
"see","get",550,"undirected"
"feel","get",375,"undirected"
"think","get",687,"undirected"
"look","get",649,"undirected"
"mind","get",129,"undirected"
"see","puls",42,"undirected"
"feel","puls",84,"undirected"
"think","puls",31,"undirected"
"look","puls",29,"undirected"
"mind","puls",11,"undirected"
"see","spike",10,"undirected"
"feel","spike",22,"undirected"
"think","spike",3,"undirected"
"look","spike",14,"undirected"
"mind","spike",1,"undirected"
"see","flash",135,"undirected"
"feel","flash",48,"undirected"
"think","flash",49,"undirected"
"look","flash",93,"undirected"
"mind","flash",53,"undirected"
"see","hey",27,"undirected"
"feel","hey",20,"undirected"
"think","hey",22,"undirected"
"look","hey",40,"undirected"
"mind","hey",3,"undirected"
"see","land",103,"undirected"
"feel","land",59,"undirected"
"think","land",56,"undirected"
"look","land",84,"undirected"
"mind","land",5,"undirected"
"see","spun",36,"undirected"
"feel","spun",17,"undirected"
"think","spun",25,"undirected"
"look","spun",35,"undirected"
"mind","spun",11,"undirected"
"see","hover",38,"undirected"
"feel","hover",20,"undirected"
"think","hover",9,"undirected"
"look","hover",43,"undirected"
"mind","hover",9,"undirected"
"see","dot",28,"undirected"
"feel","dot",6,"undirected"
"think","dot",12,"undirected"
"look","dot",10,"undirected"
"mind","dot",3,"undirected"
"see","huh",1,"undirected"
"feel","huh",2,"undirected"
"think","huh",10,"undirected"
"mind","huh",2,"undirected"
"see","insid",307,"undirected"
"feel","insid",308,"undirected"
"think","insid",198,"undirected"
"look","insid",293,"undirected"
"mind","insid",82,"undirected"
"see","yeah",30,"undirected"
"feel","yeah",24,"undirected"
"think","yeah",54,"undirected"
"look","yeah",87,"undirected"
"mind","yeah",5,"undirected"
"see","level",60,"undirected"
"feel","level",45,"undirected"
"think","level",59,"undirected"
"look","level",66,"undirected"
"mind","level",15,"undirected"
"see","site",22,"undirected"
"feel","site",8,"undirected"
"think","site",10,"undirected"
"look","site",23,"undirected"
"mind","site",3,"undirected"
"see","normal",40,"undirected"
"feel","normal",46,"undirected"
"think","normal",43,"undirected"
"look","normal",65,"undirected"
"mind","normal",16,"undirected"
"see","avoid",50,"undirected"
"feel","avoid",33,"undirected"
"think","avoid",42,"undirected"
"look","avoid",70,"undirected"
"mind","avoid",9,"undirected"
"see","caught",139,"undirected"
"feel","caught",86,"undirected"
"think","caught",132,"undirected"
"look","caught",175,"undirected"
"mind","caught",41,"undirected"
"see","despit",58,"undirected"
"feel","despit",77,"undirected"
"think","despit",52,"undirected"
"look","despit",53,"undirected"
"mind","despit",18,"undirected"
"see","insan",9,"undirected"
"feel","insan",11,"undirected"
"think","insan",28,"undirected"
"look","insan",16,"undirected"
"mind","insan",2,"undirected"
"see","awe",12,"undirected"
"feel","awe",18,"undirected"
"think","awe",6,"undirected"
"look","awe",18,"undirected"
"mind","awe",6,"undirected"
"see","hastili",7,"undirected"
"feel","hastili",2,"undirected"
"think","hastili",5,"undirected"
"look","hastili",6,"undirected"
"see","rapid",29,"undirected"
"feel","rapid",20,"undirected"
"think","rapid",26,"undirected"
"look","rapid",24,"undirected"
"mind","rapid",8,"undirected"
"see","screen",141,"undirected"
"feel","screen",46,"undirected"
"think","screen",53,"undirected"
"look","screen",181,"undirected"
"mind","screen",12,"undirected"
"see","visibl",32,"undirected"
"feel","visibl",12,"undirected"
"think","visibl",9,"undirected"
"look","visibl",36,"undirected"
"mind","visibl",3,"undirected"
"see","combat",22,"undirected"
"feel","combat",11,"undirected"
"think","combat",14,"undirected"
"look","combat",11,"undirected"
"mind","combat",8,"undirected"
"see","control",98,"undirected"
"feel","control",110,"undirected"
"think","control",99,"undirected"
"look","control",103,"undirected"
"mind","control",53,"undirected"
"see","data",40,"undirected"
"feel","data",32,"undirected"
"think","data",49,"undirected"
"look","data",36,"undirected"
"mind","data",26,"undirected"
"see","fleet",43,"undirected"
"feel","fleet",30,"undirected"
"think","fleet",42,"undirected"
"look","fleet",42,"undirected"
"mind","fleet",7,"undirected"
"see","status",13,"undirected"
"feel","status",9,"undirected"
"think","status",11,"undirected"
"look","status",13,"undirected"
"mind","status",2,"undirected"
"see","system",75,"undirected"
"feel","system",50,"undirected"
"think","system",72,"undirected"
"look","system",83,"undirected"
"mind","system",40,"undirected"
"see","beyond",132,"undirected"
"feel","beyond",59,"undirected"
"think","beyond",79,"undirected"
"look","beyond",88,"undirected"
"mind","beyond",25,"undirected"
"see","captain",130,"undirected"
"feel","captain",61,"undirected"
"think","captain",116,"undirected"
"look","captain",164,"undirected"
"mind","captain",21,"undirected"
"see","project",32,"undirected"
"feel","project",23,"undirected"
"think","project",30,"undirected"
"look","project",32,"undirected"
"mind","project",9,"undirected"
"see","search",96,"undirected"
"feel","search",71,"undirected"
"think","search",69,"undirected"
"look","search",120,"undirected"
"mind","search",34,"undirected"
"see","frown",93,"undirected"
"feel","frown",42,"undirected"
"think","frown",119,"undirected"
"look","frown",180,"undirected"
"mind","frown",13,"undirected"
"see","sir",40,"undirected"
"feel","sir",13,"undirected"
"think","sir",57,"undirected"
"look","sir",52,"undirected"
"mind","sir",5,"undirected"
"see","agreement",10,"undirected"
"feel","agreement",10,"undirected"
"think","agreement",18,"undirected"
"look","agreement",24,"undirected"
"mind","agreement",3,"undirected"
"see","express",180,"undirected"
"feel","express",75,"undirected"
"think","express",104,"undirected"
"look","express",245,"undirected"
"mind","express",17,"undirected"
"see","flare",18,"undirected"
"feel","flare",14,"undirected"
"think","flare",13,"undirected"
"look","flare",11,"undirected"
"mind","flare",4,"undirected"
"see","author",19,"undirected"
"feel","author",10,"undirected"
"think","author",19,"undirected"
"look","author",10,"undirected"
"mind","author",3,"undirected"
"see","command",68,"undirected"
"feel","command",76,"undirected"
"think","command",86,"undirected"
"look","command",101,"undirected"
"mind","command",27,"undirected"
"see","rank",9,"undirected"
"feel","rank",6,"undirected"
"think","rank",6,"undirected"
"look","rank",13,"undirected"
"mind","rank",3,"undirected"
"see","ship",206,"undirected"
"feel","ship",121,"undirected"
"think","ship",156,"undirected"
"look","ship",169,"undirected"
"mind","ship",46,"undirected"
"see","figur",144,"undirected"
"feel","figur",53,"undirected"
"think","figur",74,"undirected"
"look","figur",129,"undirected"
"mind","figur",16,"undirected"
"see","moment",450,"undirected"
"feel","moment",398,"undirected"
"think","moment",566,"undirected"
"look","moment",636,"undirected"
"mind","moment",111,"undirected"
"see","shrug",82,"undirected"
"feel","shrug",59,"undirected"
"think","shrug",118,"undirected"
"look","shrug",261,"undirected"
"mind","shrug",13,"undirected"
"see","check",149,"undirected"
"feel","check",50,"undirected"
"think","check",106,"undirected"
"look","check",146,"undirected"
"mind","check",25,"undirected"
"see","jump",89,"undirected"
"feel","jump",48,"undirected"
"think","jump",49,"undirected"
"look","jump",85,"undirected"
"mind","jump",13,"undirected"
"see","shook",158,"undirected"
"feel","shook",133,"undirected"
"think","shook",230,"undirected"
"look","shook",401,"undirected"
"mind","shook",37,"undirected"
"see","calcul",18,"undirected"
"feel","calcul",8,"undirected"
"think","calcul",10,"undirected"
"look","calcul",27,"undirected"
"mind","calcul",13,"undirected"
"see","display",105,"undirected"
"feel","display",35,"undirected"
"think","display",48,"undirected"
"look","display",137,"undirected"
"mind","display",13,"undirected"
"see","warn",37,"undirected"
"feel","warn",39,"undirected"
"think","warn",48,"undirected"
"look","warn",55,"undirected"
"mind","warn",16,"undirected"
"see","choic",27,"undirected"
"feel","choic",31,"undirected"
"think","choic",45,"undirected"
"look","choic",41,"undirected"
"mind","choic",10,"undirected"
"see","glare",49,"undirected"
"feel","glare",17,"undirected"
"think","glare",32,"undirected"
"look","glare",71,"undirected"
"mind","glare",4,"undirected"
"see","hostil",12,"undirected"
"feel","hostil",7,"undirected"
"think","hostil",10,"undirected"
"look","hostil",8,"undirected"
"mind","hostil",1,"undirected"
"see","chang",141,"undirected"
"feel","chang",123,"undirected"
"think","chang",139,"undirected"
"look","chang",144,"undirected"
"mind","chang",93,"undirected"
"see","brief",42,"undirected"
"feel","brief",35,"undirected"
"think","brief",41,"undirected"
"look","brief",63,"undirected"
"mind","brief",11,"undirected"
"see","far",268,"undirected"
"feel","far",95,"undirected"
"think","far",186,"undirected"
"look","far",202,"undirected"
"mind","far",39,"undirected"
"see","gestur",88,"undirected"
"feel","gestur",31,"undirected"
"think","gestur",52,"undirected"
"look","gestur",135,"undirected"
"mind","gestur",10,"undirected"
"see","monitor",39,"undirected"
"feel","monitor",8,"undirected"
"think","monitor",15,"undirected"
"look","monitor",38,"undirected"
"mind","monitor",5,"undirected"
"see","repair",18,"undirected"
"feel","repair",6,"undirected"
"think","repair",6,"undirected"
"look","repair",14,"undirected"
"mind","repair",3,"undirected"
"see","concern",44,"undirected"
"feel","concern",41,"undirected"
"think","concern",50,"undirected"
"look","concern",79,"undirected"
"mind","concern",16,"undirected"
"see","crew",41,"undirected"
"feel","crew",28,"undirected"
"think","crew",31,"undirected"
"look","crew",39,"undirected"
"mind","crew",7,"undirected"
"see","member",38,"undirected"
"feel","member",11,"undirected"
"think","member",14,"undirected"
"look","member",26,"undirected"
"see","acceler",19,"undirected"
"feel","acceler",23,"undirected"
"think","acceler",11,"undirected"
"look","acceler",16,"undirected"
"mind","acceler",7,"undirected"
"see","escort",16,"undirected"
"feel","escort",5,"undirected"
"think","escort",7,"undirected"
"look","escort",19,"undirected"
"mind","escort",2,"undirected"
"see","faster",35,"undirected"
"feel","faster",26,"undirected"
"think","faster",37,"undirected"
"look","faster",22,"undirected"
"mind","faster",11,"undirected"
"see","repli",108,"undirected"
"feel","repli",74,"undirected"
"think","repli",130,"undirected"
"look","repli",160,"undirected"
"mind","repli",29,"undirected"
"see","side",453,"undirected"
"feel","side",226,"undirected"
"think","side",183,"undirected"
"look","side",430,"undirected"
"mind","side",41,"undirected"
"see","enemi",34,"undirected"
"feel","enemi",17,"undirected"
"think","enemi",35,"undirected"
"look","enemi",35,"undirected"
"mind","enemi",10,"undirected"
"see","flee",12,"undirected"
"feel","flee",9,"undirected"
"think","flee",8,"undirected"
"look","flee",8,"undirected"
"mind","flee",1,"undirected"
"see","react",35,"undirected"
"feel","react",19,"undirected"
"think","react",15,"undirected"
"look","react",24,"undirected"
"mind","react",4,"undirected"
"see","alreadi",239,"undirected"
"feel","alreadi",153,"undirected"
"think","alreadi",217,"undirected"
"look","alreadi",183,"undirected"
"mind","alreadi",57,"undirected"
"see","event",39,"undirected"
"feel","event",27,"undirected"
"think","event",53,"undirected"
"look","event",33,"undirected"
"mind","event",24,"undirected"
"see","float",48,"undirected"
"feel","float",34,"undirected"
"think","float",21,"undirected"
"look","float",38,"undirected"
"mind","float",18,"undirected"
"see","minut",147,"undirected"
"feel","minut",116,"undirected"
"think","minut",140,"undirected"
"look","minut",166,"undirected"
"mind","minut",34,"undirected"
"see","shape",77,"undirected"
"feel","shape",31,"undirected"
"think","shape",36,"undirected"
"look","shape",40,"undirected"
"mind","shape",22,"undirected"
"see","slowli",127,"undirected"
"feel","slowli",109,"undirected"
"think","slowli",108,"undirected"
"look","slowli",192,"undirected"
"mind","slowli",32,"undirected"
"see","hit",94,"undirected"
"feel","hit",93,"undirected"
"think","hit",87,"undirected"
"look","hit",116,"undirected"
"mind","hit",11,"undirected"
"see","lock",75,"undirected"
"feel","lock",58,"undirected"
"think","lock",58,"undirected"
"look","lock",91,"undirected"
"mind","lock",11,"undirected"
"see","third",31,"undirected"
"feel","third",16,"undirected"
"think","third",26,"undirected"
"look","third",26,"undirected"
"mind","third",10,"undirected"
"see","well",291,"undirected"
"feel","well",207,"undirected"
"think","well",333,"undirected"
"look","well",383,"undirected"
"mind","well",53,"undirected"
"see","movement",94,"undirected"
"feel","movement",38,"undirected"
"think","movement",43,"undirected"
"look","movement",47,"undirected"
"mind","movement",8,"undirected"
"see","second",211,"undirected"
"feel","second",120,"undirected"
"think","second",248,"undirected"
"look","second",250,"undirected"
"mind","second",52,"undirected"
"see","help",208,"undirected"
"feel","help",204,"undirected"
"think","help",290,"undirected"
"look","help",268,"undirected"
"mind","help",43,"undirected"
"see","stare",392,"undirected"
"feel","stare",204,"undirected"
"think","stare",257,"undirected"
"look","stare",587,"undirected"
"mind","stare",47,"undirected"
"see","survivor",23,"undirected"
"feel","survivor",9,"undirected"
"think","survivor",16,"undirected"
"look","survivor",18,"undirected"
"mind","survivor",4,"undirected"
"see","area",67,"undirected"
"feel","area",26,"undirected"
"think","area",46,"undirected"
"look","area",68,"undirected"
"mind","area",13,"undirected"
"see","battl",41,"undirected"
"feel","battl",23,"undirected"
"think","battl",37,"undirected"
"look","battl",32,"undirected"
"mind","battl",5,"undirected"
"see","graviti",14,"undirected"
"feel","graviti",24,"undirected"
"think","graviti",21,"undirected"
"look","graviti",12,"undirected"
"mind","graviti",3,"undirected"
"see","heavili",25,"undirected"
"feel","heavili",10,"undirected"
"think","heavili",17,"undirected"
"look","heavili",22,"undirected"
"mind","heavili",1,"undirected"
"see","quick",188,"undirected"
"feel","quick",121,"undirected"
"think","quick",145,"undirected"
"look","quick",243,"undirected"
"mind","quick",39,"undirected"
"see","compart",11,"undirected"
"feel","compart",10,"undirected"
"think","compart",11,"undirected"
"look","compart",17,"undirected"
"mind","compart",1,"undirected"
"see","desper",45,"undirected"
"feel","desper",41,"undirected"
"think","desper",44,"undirected"
